Jz, D, S1S1x, S1S1y, S1S1z, S1S2x, S1S2y, S1S2z, S1S3x, S1S3y, S1S3z, prodSix, prodSiy, prodSiz
-4.0, -0.4999999999999969, 0.5, 0.4999999999999998, 0.9999999999999999, -1.6739450013136558e-16, 1.6739450013136536e-16, 0.9999999999999999, 1.4932448780581034e-18, -1.4932448780576504e-18, 0.9999999999999999, 4.3378393794478635e-17, 4.3378393794478525e-17, 0.9999999999999999
-4.0, -0.3999999999999968, 0.4999999999999999, 0.4999999999999999, 0.9999999999999998, 2.5083940681946197e-18, -2.5083940681945365e-18, 0.9999999999999998, -1.4082930683701587e-18, 1.4082930683699553e-18, 0.9999999999999998, -9.869545323635772e-18, -9.869545323635774e-18, 0.9999999999999998
-4.0, -0.2999999999999967, 0.5, 0.5, 1.0, -3.514942133679544e-20, 3.5149421336864e-20, 1.0, -2.497170062790981e-18, 2.4971700627909523e-18, 1.0, -2.827312505894691e-19, -2.8273125058946914e-19, 1.0
-4.0, -0.19999999999999662, 0.5000000000000003, 0.5000000000000003, 1.0000000000000007, -9.937160060971433e-18, 9.937160060971405e-18, 1.0000000000000007, 1.310150836093388e-18, -1.310150836093367e-18, 1.0000000000000007, 4.0532852652216425e-18, 4.05328526522164e-18, 1.0000000000000007
-4.0, -0.09999999999999654, 0.5000000000000002, 0.5000000000000002, 1.0000000000000004, -1.6319829714111037e-16, 1.6319829714111e-16, 1.0000000000000004, 1.3508140677009312e-16, -1.35081406770093e-16, 1.0000000000000004, -2.780136140487254e-18, -2.780136140487367e-18, 1.0000000000000004
-4.0, 3.552713678800501e-15, 0.5, 0.5, 1.0, 3.9419371308492476e-18, -3.9419371308493185e-18, 1.0, -3.719791489797792e-18, 3.7197914897978425e-18, 1.0, 8.436100655130366e-19, 8.436100655130343e-19, 1.0
-4.0, 0.1000000000000032, 0.5000000000000002, 0.5000000000000001, 1.0000000000000002, -2.2440681138488984e-17, 2.2440681138489107e-17, 1.0000000000000002, 2.5962807889901744e-17, -2.5962807889901824e-17, 1.0000000000000002, 3.5969428478743855e-18, 3.59694284787439e-18, 1.0000000000000002
-4.0, 0.20000000000000373, 0.4999999999999999, 0.4999999999999999, 0.9999999999999998, 2.253524624606492e-18, -2.2535246246064956e-18, 0.9999999999999998, 7.805453579679342e-18, -7.80545357967942e-18, 0.9999999999999998, -1.6505056908112217e-18, -1.6505056908112198e-18, 0.9999999999999998
-4.0, 0.30000000000000426, 0.4999999999999997, 0.4999999999999997, 0.9999999999999994, -2.2927031203354104e-16, 2.292703120335416e-16, 0.9999999999999994, -4.1593157917273455e-17, 4.159315791727283e-17, 0.9999999999999994, -1.9554460677945533e-17, -1.9554460677945604e-17, 0.9999999999999994
-4.0, 0.4000000000000039, 0.5000000000000004, 0.5000000000000004, 1.0000000000000009, 1.6487246753205094e-17, -1.6487246753205054e-17, 1.0000000000000009, 2.728522073921616e-17, -2.728522073921636e-17, 1.0000000000000009, 2.3194079331539458e-18, 2.31940793315394e-18, 1.0000000000000009
-4.0, 0.5000000000000036, 0.4999999999999996, 0.4999999999999996, 0.9999999999999992, -8.686758847560288e-17, 8.686758847560251e-17, 0.9999999999999992, -4.285315354279804e-17, 4.285315354279827e-17, 0.9999999999999992, -5.521629931348161e-18, -5.521629931348051e-18, 0.9999999999999992
-4.0, 0.6000000000000041, 0.5000000000000004, 0.5000000000000004, 1.0000000000000009, -9.403465936775914e-19, 9.403465936775818e-19, 1.0000000000000009, 1.3805361457364895e-17, -1.3805361457364886e-17, 1.0000000000000009, -5.2936292288341825e-18, -5.293629228834179e-18, 1.0000000000000009
-4.0, 0.7000000000000046, 0.5, 0.5, 1.0, -1.77290893243437e-17, 1.772908932434362e-17, 1.0, 1.0394034084812202e-17, -1.0394034084812138e-17, 1.0, -4.371491687549747e-20, -4.371491687549554e-20, 1.0
-4.0, 0.8000000000000043, 0.4999999999999999, 0.4999999999999999, 0.9999999999999998, -9.167180178556865e-19, 9.167180178556684e-19, 0.9999999999999998, -4.515434329992507e-19, 4.515434329992382e-19, 0.9999999999999998, 1.3964597904910724e-19, 1.396459790491093e-19, 0.9999999999999998
-4.0, 0.9000000000000039, 0.4999999999999999, 0.4999999999999999, 0.9999999999999998, -3.457813403449907e-18, 3.457813403449847e-18, 0.9999999999999998, -1.263900801060648e-18, 1.263900801060704e-18, 0.9999999999999998, -5.241804551603229e-18, -5.241804551603226e-18, 0.9999999999999998
-4.0, 1.0000000000000044, 0.5000000000000004, 0.5000000000000004, 1.0000000000000009, 1.1581150456576453e-17, -1.1581150456576517e-17, 1.0000000000000009, -3.9374978631700856e-18, 3.937497863170161e-18, 1.0000000000000009, -2.132628253945346e-18, -2.132628253945349e-18, 1.0000000000000009
-4.0, 1.100000000000005, 0.5000000000000002, 0.5000000000000002, 1.0000000000000004, 4.355397827987392e-18, -4.3553978279873745e-18, 1.0000000000000004, -3.875949378600222e-18, 3.875949378600239e-18, 1.0000000000000004, -3.177597375686672e-18, -3.1775973756866713e-18, 1.0000000000000004
-4.0, 1.2000000000000046, 0.5000000000000002, 0.5000000000000002, 1.0000000000000004, -6.738384436300559e-18, 6.738384436300516e-18, 1.0000000000000004, -1.1958645690710508e-17, 1.1958645690710583e-17, 1.0000000000000004, -1.8207246192459606e-19, -1.8207246192458944e-19, 1.0000000000000004
-4.0, 1.3000000000000043, 0.5, 0.5, 1.0, 1.548310264829301e-17, -1.548310264829301e-17, 1.0, -1.0355014727499184e-17, 1.0355014727499183e-17, 1.0, 1.3611974628287792e-18, 1.3611974628287792e-18, 1.0
